player,team,position,games_played,rush_attempts_pg,rushing_yards_pg,rushing_tds,targets_pg,receptions_pg,receiving_yards_pg,carries_share,snap_share,red_zone_carries,goal_line_touches,fantasy_points_pg
R.Sanders,CLE,,4,6.75,23.0,1.0,1.0,0.75,5.25,6.38,0.0,7.0,4.0,5.075
R.Shaheed,NO,,9,0.222,0.556,0.0,7.333,4.889,55.444,0.46,0.0,1.0,2.0,11.822
R.Shaheed,SEA,,9,0.778,7.111,0.0,2.889,1.667,20.889,1.38,0.0,0.0,0.0,4.467
R.Stevenson,NE,,14,9.357,43.071,7.0,2.714,2.286,24.643,26.41,0.0,27.0,13.0,12.914
R.Thomas,IND,,1,1.0,3.0,0.0,0.0,0.0,0.0,0.23,0.0,,,0.3
R.White,TB,,17,7.824,33.647,4.0,2.647,2.353,12.824,28.06,0.0,19.0,9.0,8.412
S.Barkley,PHI,,16,17.562,71.25,7.0,3.188,2.312,17.062,58.66,0.0,44.0,17.0,14.519
S.Jackson,LV,,3,0.333,1.0,0.0,1.667,1.333,18.667,0.27,0.0,,,5.3
S.Moore,SF,,9,0.222,1.222,0.0,0.778,0.556,9.667,0.42,0.0,,,1.644
S.Perine,CIN,,14,6.0,27.286,3.0,1.5,1.214,6.214,21.99,0.0,16.0,4.0,5.85
S.Shepard,TB,,13,0.308,1.462,0.0,4.154,3.0,28.538,0.84,0.0,0.0,2.0,6.462
S.Tucker,TB,,14,6.143,22.857,7.0,0.786,0.571,2.429,18.14,0.0,21.0,12.0,6.529
S.Vaki,DET,,1,1.0,4.0,0.0,0.0,0.0,0.0,0.23,0.0,,,0.4
S.Williams,GB,,11,1.0,3.364,0.0,0.909,0.909,7.091,2.24,0.0,1.0,0.0,2.5
T.Allgeier,ATL,,17,8.412,30.235,8.0,0.941,0.824,5.647,29.92,0.0,32.0,10.0,7.235
T.Badie,DEN,,14,0.571,1.643,0.0,2.214,1.357,10.071,1.75,0.0,2.0,1.0,2.529
T.Benson,ARI,,4,7.25,40.0,0.0,4.0,3.25,16.0,7.9,0.0,3.0,1.0,8.85
T.Bigsby,JAX,,1,5.0,12.0,0.0,0.0,0.0,0.0,1.02,0.0,1.0,0.0,1.2
T.Bigsby,PHI,,10,5.8,34.4,2.0,0.4,0.3,3.2,12.11,0.0,17.0,6.0,5.26
