player,team,position,snap_share,route_participation,target_share,air_yards_share,red_zone_touch_share,red_zone_carries,red_zone_targets,goal_line_touches,targets_pg,receptions_pg,rush_attempts_pg,carries_share,pass_attempts_pg,passing_yards_pg,rushing_yards_pg,receiving_yards_pg,fantasy_points_pg
C.Kupp,SEA,QB,0.0,0.0,0.22,0.49,5.0,0.0,13.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,32.0,3.2
C.Kupp,SEA,,0.0,0.0,15.32,13.85,5.0,0.0,13.0,3.0,4.667,3.067,0.0,0.0,0.0,0.0,0.0,37.4,7.607
C.Lamb,DAL,,0.0,0.0,19.18,28.49,5.84,0.0,17.0,4.0,9.0,5.769,0.077,0.22,0.0,0.0,0.154,82.846,15.454
C.Loveland,CHI,,0.0,0.0,15.49,16.45,6.4,1.0,15.0,5.0,5.188,3.625,0.062,0.2,0.0,0.0,-0.125,44.562,10.319
C.Manhertz,NYG,,0.0,0.0,0.4,0.26,0.38,0.0,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,3.5,0.85
C.McCaffrey,SF,QB,0.0,0.0,0.72,-0.1,35.97,75.0,25.0,24.0,4.0,4.0,20.0,4.16,1.0,0.0,53.0,21.0,17.4
C.McCaffrey,SF,,0.0,0.0,22.56,8.21,35.97,75.0,25.0,24.0,7.812,6.125,18.188,60.5,0.0,0.0,71.812,55.188,24.825
C.Moore,WAS,,0.0,0.0,5.28,8.85,0.92,0.0,2.0,0.0,2.875,1.375,0.125,0.21,0.0,0.0,1.125,25.875,4.825
C.Okonkwo,TEN,,0.0,0.0,14.91,9.33,3.29,0.0,5.0,0.0,4.647,3.294,0.0,0.0,0.0,0.0,0.0,32.941,7.294
C.Oladokun,KC,QB,0.0,0.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,0.0,1.667,1.16,21.0,78.333,6.0,0.0,5.067
C.Olave,NO,QB,0.0,0.0,1.06,0.68,7.94,0.0,15.0,2.0,6.0,3.0,0.0,0.0,1.0,0.0,0.0,20.0,10.0
C.Olave,NO,,0.0,0.0,26.5,38.67,7.94,0.0,15.0,2.0,10.0,6.467,0.067,0.23,0.0,0.0,-0.2,76.2,17.267
C.Otton,TB,,0.0,0.0,15.05,9.66,3.21,0.0,7.0,1.0,5.467,3.933,0.0,0.0,0.0,0.0,0.0,38.133,8.147
C.Owen,IND,,0.0,0.0,0.19,0.05,0.0,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.Parkinson,LA,,0.0,0.0,9.64,4.68,7.31,0.0,22.0,2.0,4.0,3.071,0.0,0.0,0.0,0.0,0.0,29.143,9.414
