team,player,red_zone_carries,red_zone_targets,red_zone_pass_attempts,goal_line_touches,red_zone_touch_share
NYG,D.Slayton,0,8,0,2,3.07
NYG,G.Olszewski,0,2,1,0,0.77
NYG,I.Hodgins,0,4,0,0,1.53
NYG,J.Hyatt,0,1,0,0,0.38
NYG,L.Humphrey,0,2,0,1,0.77
NYG,M.Nabers,0,4,0,2,1.53
NYG,T.Johnson,0,14,0,3,5.36
NYG,W.Robinson,0,14,0,6,5.36
NYJ,A.Lazard,0,6,0,3,3.35
NYJ,A.Mitchell,0,8,0,0,4.47
NYJ,G.Wilson,0,5,0,1,2.79
NYJ,I.Williams,0,1,1,0,0.56
NYJ,J.Metchie,0,5,0,0,2.79
NYJ,J.Reynolds,0,2,0,1,1.12
NYJ,J.Ruckert,0,3,0,1,1.68
NYJ,J.Woods,0,1,0,0,0.56
NYJ,M.Taylor,0,9,0,2,5.03
NYJ,Q.Skinner,0,1,0,1,0.56
NYJ,T.Johnson,0,3,0,0,1.68
PHI,A.Brown,0,13,0,2,6.1
PHI,D.Goedert,0,15,0,8,7.04
PHI,D.Smith,0,12,0,3,5.63
PHI,G.Calcaterra,0,3,0,0,1.41
PHI,J.Dotson,0,5,0,0,2.35
PHI,K.Granson,0,1,0,0,0.47
PHI,W.Shipley,0,1,0,0,0.47
PHI,X.Gipson,0,1,0,0,0.47
PIT,A.Thielen,0,2,0,0,0.86
PIT,B.Skowronek,0,1,0,0,0.43
PIT,C.Austin,0,4,0,0,1.72
PIT,D.Washington,0,9,0,4,3.86
PIT,M.Valdes-Scantling,0,5,0,0,2.15
PIT,P.Freiermuth,0,9,0,2,3.86
PIT,R.Wilson,0,1,0,0,0.43
PIT,S.Miller,0,2,0,0,0.86
SEA,C.Kupp,0,13,0,3,5.0
SEA,E.Arroyo,0,5,0,1,1.92
SEA,E.Saubert,0,4,0,1,1.54
SEA,J.Smith-Njigba,0,17,0,3,6.54
SEA,N.Kallerup,0,1,0,0,0.38
SEA,R.Shaheed,0,2,0,0,0.77
SEA,T.Horton,0,4,0,1,1.54
SF,D.Robinson,0,4,0,2,1.44
SF,J.Jennings,0,22,0,8,7.91
SF,J.Tonges,0,7,0,3,2.52
SF,K.Bourne,0,2,0,0,0.72
SF,L.Farrell,0,4,0,1,1.44
SF,R.Pearsall,0,4,0,0,1.44
TB,C.Godwin,0,8,0,3,3.67
TB,C.Otton,0,7,0,1,3.21
TB,D.Culp,0,1,0,0,0.46
TB,M.Evans,0,9,0,5,4.13
TB,P.Durham,0,1,0,0,0.46
TB,R.Miller,0,1,0,0,0.46
TB,S.Shepard,0,8,0,2,3.67
TB,T.Wirfs,0,1,0,1,0.46
TEN,C.Okonkwo,0,5,0,0,3.29
TEN,C.Ridley,0,2,0,0,1.32
TEN,D.Martin-Robinson,0,1,0,1,0.66
TEN,E.Ayomanor,0,8,0,1,5.26
TEN,G.Helm,0,8,0,1,5.26
TEN,J.Simmons,0,1,0,1,0.66
TEN,V.Jefferson,0,3,0,1,1.97
TEN,X.Restrepo,0,1,0,0,0.66
WAS,B.Sinnott,0,1,0,1,0.46
WAS,C.Moore,0,2,0,0,0.92
WAS,J.Bates,0,2,0,2,0.92
WAS,J.Lane,0,2,0,0,0.92
WAS,L.McCaffrey,0,3,0,2,1.38
WAS,N.Brown,0,2,0,0,0.92
WAS,T.Burks,0,4,0,3,1.83
WAS,T.McLaurin,0,8,0,3,3.67
WAS,Z.Ertz,0,9,0,4,4.13
BAL,C.Rush,0,0,1,0,0.0
BUF,M.Trubisky,0,0,11,0,0.0
CAR,A.Dalton,0,0,7,0,0.0
GB,C.Tune,0,0,1,0,0.0
IND,P.Rivers,0,0,8,0,0.0
JAX,N.Mullens,0,0,1,0,0.0
KC,S.Buechele,0,0,3,0,0.0
LA,J.Karty,0,0,1,0,0.0
LAC,T.Lance,0,0,4,0,0.0
LV,A.O'Connell,0,0,2,0,0.0
LV,K.Pickett,0,0,2,0,0.0
MIN,M.Brosmer,0,0,9,0,0.0
NYJ,B.Cook,0,0,20,0,0.0
PHI,T.McKee,0,0,8,0,0.0
TB,T.Bridgewater,0,0,7,0,0.0
