player,team,position,games_played,targets_pg,receptions_pg,receiving_yards_pg,receiving_tds,target_share,air_yards_share,air_yards_pg,snap_share,route_participation,red_zone_targets,goal_line_touches,fantasy_points_pg
J.Hawes,BUF,,13,1.462,1.231,14.385,3.0,3.89,3.98,10.692,0.0,0.0,3.0,2.0,4.054
J.Higgins,HOU,,17,4.059,2.412,30.882,6.0,12.39,18.26,49.353,0.0,0.0,9.0,2.0,7.618
J.Hill,BAL,,9,3.0,2.333,18.778,1.0,6.6,-0.18,-0.667,0.0,0.0,1.0,1.0,7.244
J.Hill,MIA,,11,1.909,1.364,12.727,0.0,4.52,2.0,6.0,0.0,0.0,4.0,1.0,2.636
J.Hyatt,NYG,,5,2.8,1.0,7.0,0.0,2.77,6.49,56.0,0.0,0.0,1.0,0.0,1.7
J.Jacobs,GB,,15,2.933,2.4,18.8,1.0,9.52,-0.95,-2.6,0.0,0.0,6.0,20.0,16.073
J.Jefferson,MIN,,17,8.353,4.941,61.647,2.0,30.08,38.59,84.588,0.0,0.0,19.0,6.0,11.853
J.Jennings,SF,,15,6.2,3.667,42.867,9.0,16.79,21.91,60.333,0.0,0.0,22.0,8.0,11.553
J.Jeudy,CLE,,17,6.235,2.941,35.412,2.0,20.23,35.87,75.765,0.0,0.0,9.0,0.0,7.218
J.Johnson,NO,,17,6.0,4.529,52.294,3.0,18.02,16.52,45.471,0.0,0.0,8.0,0.0,10.818
J.Jordan,HOU,,4,1.75,1.75,8.5,0.0,1.26,-0.13,-1.5,0.0,0.0,0.0,1.0,7.425
J.Keeney-James,GB,,1,2.0,2.0,15.0,0.0,0.43,0.37,15.0,0.0,0.0,,,3.5
J.Lane,WAS,,13,2.462,1.231,17.308,0.0,7.34,11.39,32.846,0.0,0.0,2.0,0.0,3.015
J.Mason,MIN,,16,1.0,0.875,3.188,0.0,3.39,-1.4,-3.25,0.0,0.0,1.0,7.0,8.181
J.Matthews,ATL,,1,1.0,0.0,0.0,0.0,0.19,0.02,1.0,0.0,0.0,1.0,1.0,0.0
J.McLaughlin,DEN,,8,0.75,0.5,3.375,0.0,1.02,-0.52,-2.875,0.0,0.0,0.0,1.0,3.925
