player,team,position,attempts,completions,passing_yards,passing_tds,interceptions,sacks,carries,rushing_yards,rushing_tds,targets,receptions,receiving_yards,receiving_tds,air_yards,fantasy_points,fantasy_points_ppr,offense_snaps,defense_snaps,st_snaps,games_played,pass_attempts_pg,completions_pg,passing_yards_pg,passing_tds_pg,interceptions_pg,rush_attempts_pg,rushing_yards_pg,targets_pg,receptions_pg,receiving_yards_pg,air_yards_pg,fantasy_points_pg,fantasy_points_std_pg,target_share,air_yards_share,carries_share,snap_share,route_participation,red_zone_touch_share,red_zone_carries,red_zone_targets,red_zone_pass_attempts,goal_line_touches
U.Bentley,IND,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,,,,
V.Jefferson,TEN,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,29.0,350.0,1.0,623.0,41.0,70.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.714,2.071,25.0,44.5,5.0,2.929,9.81,15.88,0.0,0.0,0.0,1.97,0.0,3.0,0.0,1.0
V.Jones,SEA,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.2,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,4.0,32.0,0.0,0.0,0.0,0.0,3.2,3.2,0.0,0.0,0.79,0.0,0.0,0.0,,,,
W.Dissly,LAC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,97.0,0.0,72.0,9.7,20.7,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.375,12.125,9.0,2.588,1.212,2.94,1.63,0.0,0.0,0.0,0.41,0.0,1.0,0.0,0.0
W.Mallory,IND,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,0.0,16.0,1.6,2.6,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,16.0,2.6,1.6,0.19,0.37,0.0,0.0,0.0,0.0,,,,
W.Marks,HOU,,0.0,0.0,0.0,0.0,0.0,0.0,196.0,703.0,2.0,36.0,24.0,208.0,3.0,77.0,121.1,145.1,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,12.25,43.938,2.25,1.5,13.0,4.812,9.069,7.569,6.46,1.68,41.18,0.0,0.0,16.87,33.0,8.0,0.0,11.0
W.Robinson,NYG,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,141.0,92.0,1014.0,4.0,1187.0,125.9,217.89999999999998,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.188,0.312,8.812,5.75,63.375,74.188,13.619,7.869,27.87,27.53,0.59,0.0,0.0,5.36,0.0,14.0,0.0,6.0
W.Shipley,PHI,,0.0,0.0,0.0,0.0,0.0,0.0,14.0,49.0,0.0,12.0,9.0,56.0,0.0,-10.0,10.5,19.5,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,1.273,4.455,1.091,0.818,5.091,-0.909,1.773,0.955,2.58,-0.24,2.92,0.0,0.0,0.47,0.0,1.0,0.0,0.0
X.Gipson,PHI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,0.0,-9.0,0.6,2.6,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,-4.5,1.3,0.3,0.43,-0.21,0.0,0.0,0.0,0.47,0.0,1.0,0.0,0.0
X.Hutchinson,HOU,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,57.0,35.0,428.0,3.0,584.0,63.0,98.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.188,1.375,3.562,2.188,26.75,36.5,6.125,3.938,10.23,12.71,0.63,0.0,0.0,3.29,1.0,7.0,0.0,3.0
X.Legette,CAR,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,64.0,35.0,363.0,3.0,633.0,54.3,89.3,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.067,0.0,4.267,2.333,24.2,42.2,5.953,3.62,13.28,19.42,0.22,0.0,0.0,5.8,0.0,12.0,0.0,2.0
X.Restrepo,TEN,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,41.0,0.0,77.0,4.1,7.1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1.5,20.5,38.5,3.55,2.05,1.32,1.96,0.0,0.0,0.0,0.66,0.0,1.0,0.0,0.0
X.Smith,LA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,18.0,303.0,0.0,405.0,30.3,48.3,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,1.8,30.3,40.5,4.83,3.03,4.13,7.65,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
X.Weaver,ARI,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,67.0,0.0,192.0,6.699999999999999,13.7,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.167,1.167,11.167,32.0,2.283,1.117,2.1,4.31,0.0,0.0,0.0,1.28,0.0,3.0,0.0,0.0
X.Worthy,KC,,0.0,0.0,0.0,0.0,0.0,0.0,11.0,87.0,0.0,73.0,42.0,532.0,1.0,944.0,67.9,109.9,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.786,6.214,5.214,3.0,38.0,67.429,7.85,4.85,13.22,21.96,2.56,0.0,0.0,2.37,0.0,6.0,0.0,1.0
